,Study/Cohort(s) unique ID,,,,,,What were the study objectives?,,,,,What arms did the study involve?,,,,,Was assignment to different arms randomised/blinded?,,,
X,A1_trialID,A1_trialRegistry,#studyTitle,#cohortsJustif,A0_S,A0_C,A2_efficacy,A2_safety,A2_pharma,A2_other,#objComment,A3_control,A3_ctrlCat1,A3_ctrlCat2,A3_arms,#armComment,A4_random,A4_randMethod,A5_blind,A5_blindLevel
X00010,not found,not found,not found,N/A,S1,S1C1,1,0,0,none,Programme performance: impact of overall control measures on incidence/prevalence,1,placebo,N/A,2,"Control group unclear: referred to as ""placebo"" (not specified which) and as ""untreated""",1,unclear,0,N/A
X00020,not found,not found,not found,N/A,S2,S2C1,1,1,0,diagnostic approach,none,1,drug comparison,placebo,3,"PZQ treatment, OXA treatment and placebo group",1,unclear,1,triple
X00170,ISRCTN53172722,Controlled-Trials.com (BioMed Central),"Epidemiology and control of schistosomiasis in preschool-aged children in Côte d’'Ivoire, with particular consideration to the efficacy and safety of crushed praziquantel tablets: a non-randomised study",N/A,S17,S17C1,1,1,0,diagnostic approach,"Epidemiology: incidence, distribution, and possible control of schistosomiasis in pre-school children; nested, exploratory study",0,N/A,N/A,1,none,0,N/A,0,N/A
X00180,not found,not found,not found,N/A,S18,S18C1,1,1,0,none,Control programme optimisation: feasibility/adaptation of MDA/PCT protocol for infants,1,regimen comparison,N/A,2,"PZQ treatment, in syrup or crushed-tablets",0,N/A,0,N/A
X00190,not found,not found,not found,N/A,S19,S19C1,1,0,0,none,none,1,drug comparison,N/A,2,"Mirazid treatment, and PZQ (control)",1,unclear,1,unclear
X00200,not found,not found,not found,N/A,S20,S20C1,1,0,0,diagnostic approach,"assessment of continued efficacy, including after repeated MDA/PCT rounds",1,other (treatment history),N/A,2,"""previously treated"" (i.e. had received at least one PZQ dose within the past 18 months), vs. ""treatment-naïve"" group",0,N/A,0,N/A
X00210,ISRCTN29273316; NCT00403611,ClinicalTrials.gov; Controlled-Trials.com (BioMed Central),Efficacy and safety of increased dosage of praziquantel in treatment of schistosomiasis,"multi-centric study, with several countries involved, different Schistosoma species of interest, and different co-infections allowed at recruitment, i.e. variable protocol",S21,S21C1,1,1,0,none,none,1,dose comparison,N/A,2,"PZQ treatment, high 60 mg/kg or standard 40 mg/kg dose",1,Computer-generated randomisation list with blocks of 4 in a ratio 1:1 for each regimen,1,double
X00211,ISRCTN29273316; NCT00403611,ClinicalTrials.gov; Controlled-Trials.com (BioMed Central),Efficacy and safety of increased dosage of praziquantel in treatment of schistosomiasis,"multi-centric study, with several countries involved, different Schistosoma species of interest, and different co-infections allowed at recruitment, i.e. variable protocol",S21,S21C2,1,1,0,none,none,1,dose comparison,N/A,2,"PZQ treatment, high 60 mg/kg or standard 40 mg/kg dose",1,Computer-generated randomisation list with blocks of 4 in a ratio 1:1 for each regimen,1,double
X00212,ISRCTN29273316; NCT00403611,ClinicalTrials.gov; Controlled-Trials.com (BioMed Central),Efficacy and safety of increased dosage of praziquantel in treatment of schistosomiasis,"multi-centric study, with several countries involved, different Schistosoma species of interest, and different co-infections allowed at recruitment, i.e. variable protocol",S21,S21C3,1,1,0,none,none,1,dose comparison,N/A,2,"PZQ treatment, high 60 mg/kg or standard 40 mg/kg dose",1,Computer-generated randomisation list with blocks of 4 in a ratio 1:1 for each regimen,1,double
X00213,ISRCTN29273316; NCT00403611,ClinicalTrials.gov; Controlled-Trials.com (BioMed Central),Efficacy and safety of increased dosage of praziquantel in treatment of schistosomiasis,"multi-centric study, with several countries involved, different Schistosoma species of interest, and different co-infections allowed at recruitment, i.e. variable protocol",S21,S21C4,1,1,0,none,none,1,dose comparison,N/A,2,"PZQ treatment, high 60 mg/kg or standard 40 mg/kg dose",1,Computer-generated randomisation list with blocks of 4 in a ratio 1:1 for each regimen,1,double
X00220,not found,not found,not found,N/A,S22,S22C1,1,0,0,none,none,1,regimen comparison,N/A,3,"PZQ treatment once, twice or three times (with intervals of 3 weeks)",1,unclear,0,N/A
X00230,not found,not found,not found,N/A,S23,S23C1,1,0,0,none,nested in malaria treatment RCT,1,drug comparison,N/A,2,"As treatment, together with SP or with A",1,As part of the larger malaria study,0,N/A
X00240,not found,not found,not found,N/A,S24,S24C1,1,1,0,none,nested in malaria treatment RCT,1,drug comparison,regimen comparison,3,"Several As+SMP tablets, each one every 12 or 24h, or AT+LU",1,"Computer-generated numbers were used to allocate the patients randomly to one of three treatment regimens, as part of the larger malaria study",1,unclear
X00250,NCT01132248; ATMR2010020001429343,ClinicalTrials.gov; Pan African Clinical Trials Registry (PACTR),Activity of Mefloquine Against Urinary Schistosomiasis; Evaluation of the safety and efficacy of Mefloquine as intermittent preventive treatment for malaria in pregnancy,N/A,S25,S25C1,1,0,0,none,"nested in RCT, pregnant women study",1,drug comparison,N/A,2,"MFQ intermittent preventive treatment (against malaria) in pregnancy (IPTp) with 2 possible regimens but considered altogether as one arm of the nested trial, or SP (control)",1,Randomisation list with 2:1 allocation ratio computer-generated and provided by independent Trial Management Team,1,assessor-blinded
X00270,not found,not found,not found,N/A,S27,S27C1,1,1,0,none,none,1,drug comparison,placebo,4,"As+PZQ, As+Placebo, PZQ+Placebo, Placebo (control)",1,Computer-generated randomisation code,1,double
X00280,not found,not found,not found,"different participants involved (villagers vs. schoolchildren): different age groups, recruitment means and follow-up time-points, i.e. variable protocol",S28,S28C1,1,1,0,none,recruitment during low transmission season,1,drug comparison,untreated controls,3,"Mirazid treatment, PZQ, and no treatment (control) actually corresponding to participants non-complying to assigned treatment",1,unclear,1,assessor-blinded
X00281,not found,not found,not found,"different participants involved (villagers vs. schoolchildren): different age groups, recruitment means and follow-up time-points, i.e. variable protocol",S28,S28C2,1,1,0,none,recruitment during low transmission season,1,drug comparison,untreated controls,3,"Mirazid treatment, PZQ, and no treatment (control) actually corresponding to participants non-complying to assigned treatment",1,unclear,1,assessor-blinded
X00340,not found,not found,not found,N/A,S34,S34C1,0,0,0,diagnostic approach,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00350,not found,not found,not found,N/A,S35,S35C1,1,1,0,none,none,1,drug comparison,other (endemic context),4,"As treatment vs. PZQ (control); and, new vs. old transmission focus",0,N/A,0,N/A
X00360,not found,not found,not found,N/A,S36,S36C1,1,0,0,none,"assessment of continued efficacy, including after repeated MDA/PCT rounds",1,other (treatment history),N/A,2,"""previously treated"" (i.e. reported having been diagnosed with schistosomiasis and treated with PZQ), vs. ""treatment-naïve"" group",0,N/A,0,N/A
X00370,ISRCTN32849447,Controlled-Trials.com (BioMed Central),The impact of helminths on the response to immunisation and on the incidence of infection and disease in childhood in Uganda (EMBaS),N/A,S37,S37C1,1,0,0,immunological responses,"nested in RCT, pregnant women study",1,placebo,N/A,2,"PZQ during pregnancy, or Placebo during pregnancy (control), followed by PZQ after delivery in both groups",1,unclear,1,double
X00400,not found,not found,not found,N/A,S40,S40C1,1,1,0,none,none,1,dose comparison,N/A,2,PZQ medium or high dose,1,using small blocks to achieve balance,1,unclear
X00410,not found,not found,not found,"two different endemicity context and co-infections allowed (S. haematobium only, or mixed), i.e. different protocols",S41,S41C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00411,not found,not found,not found,"two different endemicity context and co-infections allowed (S. haematobium only, or mixed), i.e. different protocols",S41,S41C2,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00420,not found,not found,not found,N/A,S42,S42C1,1,1,0,none,none,1,drug comparison,regimen comparison + placebo,4,"AM+PZQ low dose, PZQ low dose+Placebo, AM+PZQ high dose, PZQ high dose+Placebo",1,"Random allocation of treatment regimens using a computer-generated random number list, performed by a senior scientist was independent of the treatment and laboratory testing",1,double
X00430,not found,not found,not found,N/A,S43,S43C1,1,1,0,none,none,1,drug comparison,placebo,6,PZQ+As; Placebo+As; PZQ+Placebo; Placebos; PZQ only; As only (and no placebo),1,unclear,0,N/A
X00440,not found,not found,not found,N/A,S44,S44C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00460,NCT01054651,ClinicalTrials.gov,"Open-label, Randomized Clinical Trial in Kenya to Determine the Effectiveness of Artesunate + Sulfamethoxypyrazine/Pyrimethamine vs. Praziquantel in the Treatment of S. Mansoni in Children",N/A,S46,S46C1,1,1,0,none,phase 3 trial,1,drug comparison,N/A,2,"As+SMP treatment, or PZQ (control)",1,The randomisation sequence was computer generated in blocks of four by the study sponsor.,1,assessor-blinded
X00480,not found,not found,not found,N/A,S48,S48C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00500,not found,not found,not found,N/A,S50,S50C1,0,0,0,diagnostic approach,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00510,NCT00510159,ClinicalTrials.gov,"Randomized Double Blind Clinical Trial in Mali, Comparing the Effectiveness of Artesunate + Sulfamethoxypyrazine/Pyrimethamine vs. Praziquantel in the Treatment of S. Haematobium in Children",N/A,S51,S51C1,1,1,0,none,phase 2-3 trial,1,drug comparison,placebo,2,"As+SMP treatment, or PZQ (control); and placebo of other drug",1,The random allocation sequence was computer generated in Belgium.,1,double
X00550,not found,not found,not found,N/A,S55,S55C1,1,1,0,none,"pilot efficacy study, before rolling out MDA/PCT at the national scale",0,N/A,N/A,1,none,0,N/A,0,N/A
X00560,not found,not found,not found,N/A,S56,S56C1,1,1,0,none,none,1,drug comparison,N/A,2,"AS+SP treatment, or PZQ (control)",1,unclear,0,N/A
X00570,ISRCTN06498763,Controlled-Trials.com (BioMed Central),"Mefloquine, artesunate and mefloquine-artesunate in the treatment of Schistosoma mansoni and Schistosoma haematobium infections in Cote d’'Ivoire (MQAS-Schisto)",N/A,S57,S57C1,1,1,0,none,none,1,drug comparison,N/A,4,"PZQ, MFQ, As, As+MFQ",1,Computer-generated randomisation code; except for 7 children included in PZQ treatment group,0,N/A
X00660,NCT01163877,ClinicalTrials.gov,"Iron Absorption and Utilization in Adolescents Infected With Malaria Parasites, Hookworms or Schistosoma",N/A,S66,S66C1,1,0,0,immunological responses + nutrition,"nested, exploratory study",0,N/A,N/A,1,none,0,N/A,0,N/A
X00860,not found,not found,not found,N/A,S86,S86C1,1,0,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X00980,ISRCTN00393859,Controlled-Trials.com (BioMed Central),"Praziquantel, praziquantel plus mefloquine and praziquantel plus mefloquine-artesunate in the treatment of schistosomiasis (PZQMQ-Schisto)",N/A,S98,S98C1,1,1,0,none,phase 2 trial,1,drug comparison,N/A,3,PZQ; or MFQ and PZQ; or MFQ+As and PZQ,1,computer-generated randomization code,0,N/A
X01090,not found,not found,not found,N/A,S109,S109C1,0,0,0,diagnostic approach,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X01180,not found,not found,not found,"different age groups (infants vs. young school-aged children), with one cohort monitored for both efficacy and safety, and the other one for efficacy only, i.e. variable protocol",S118,S118C1,1,1,0,none,none,1,untreated controls,N/A,2,PZQ vs. untreated,0,N/A,0,N/A
X01181,not found,not found,not found,"different age groups (infants vs. young school-aged children), with one cohort monitored for both efficacy and safety, and the other one for efficacy only, i.e. variable protocol",S118,S118C2,1,0,0,none,none,1,untreated controls,N/A,2,PZQ vs. untreated,0,N/A,0,N/A
X01190,not found,not found,not found,N/A,S119,S119C1,0,0,0,immunological responses,study within a larger cross-sectional survey comparing infection levels and immune responses in various age groups and neighbouring villages,0,N/A,N/A,1,none,0,N/A,0,N/A
X01370,not found,not found,not found,N/A,S137,S137C1,0,0,0,diagnostic approach,socio-economic factors affecting (re-)infection status,1,regimen comparison,N/A,2,single vs. double PZQ treatment,0,N/A,0,N/A
X01460,not found,not found,not found,"two different endemicity contexts and different co-infections allowed (S. haematobium only, or mixed), i.e. different protocol",S146,S146C1,1,0,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X01461,not found,not found,not found,"two different endemicity contexts and different co-infections allowed (S. haematobium only, or mixed), i.e. different protocol",S146,S146C2,1,0,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X01480,not found,not found,not found,"two different endemicity contexts (S. haematobium only, or mixed), i.e. different protocol (at least for analysis) as all species considered in the study",S148,S148C1,1,0,0,none,malacological survey in parallel to clinical study,0,N/A,N/A,1,none,0,N/A,0,N/A
X01481,not found,not found,not found,"two different endemicity contexts (S. haematobium only, or mixed), i.e. different protocol (at least for analysis) as all species considered in the study",S148,S148C2,1,0,0,none,malacological survey in parallel to clinical study,0,N/A,N/A,1,none,0,N/A,0,N/A
X01560,not found,not found,not found,N/A,S156,S156C1,1,1,0,none,none,1,dose comparison,N/A,2,PZQ 60 vs 40 mg/kg,1,unclear,0,N/A
X01620,not found,not found,not found,N/A,S162,S162C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X01800,not found,not found,not found,"two different endemicity contexts and associated co-infections (S. haematobium only, or mixed)",S180,S180C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X01801,not found,not found,not found,"two different endemicity contexts and associated co-infections (S. haematobium only, or mixed)",S180,S180C2,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X02050,not found,not found,not found,N/A,S205,S205C1,0,0,0,immunological responses,none,1,untreated controls,other (endemic context),4,"PZQ vs. untreated; and, low vs. high prevalence area",0,N/A,0,N/A
X02220,not found,not found,not found,N/A,S222,S222C1,0,0,0,diagnostic approach,PZQ treatment was delivered as part of standard care,0,N/A,N/A,1,none,0,N/A,0,N/A
X02370,not found,not found,not found,N/A,S237,S237C1,0,0,0,immunological responses,none,1,delayed treatment,N/A,2,treated vs untreated (delayed treatment),0,N/A,0,N/A
X02880,not found,not found,not found,"two cohorts in different villages but same setting; different regimens delivered, i.e. different protocols",S288,S288C1,1,0,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X02881,not found,not found,not found,"two cohorts in different villages but same setting; different regimens delivered, i.e. different protocols",S288,S288C2,1,0,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X03210,not found,not found,not found,N/A,S321,S321C1,1,0,0,none,lab. experiments (in vitro assay of Schistosoma sensitivity to PZQ),0,N/A,N/A,1,none,0,N/A,0,N/A
X03430,NCT02144389,ClinicalTrials.gov,Arachidonic Acid Treatment Against Schistosomiasis Infection in Children,N/A,S343,S343C1,1,1,0,immunological responses + nutrition,none,1,drug comparison,placebo,3,"PZQ+Placebo, ARA only, PZQ+ARA",1,computerised random selection,1,double
X03530,not found,not found,not found,N/A,S353,S353C1,0,0,0,diagnostic approach,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X03770,not found,not found,not found,N/A,S377,S377C1,1,1,0,none,prevalence evolution over several years of MDA/PCT,0,N/A,N/A,1,none,0,N/A,0,N/A
X03900,not found,not found,not found,N/A,S390,S390C1,1,0,1,none,none,1,dose comparison,N/A,2,PZQ 60 vs. 40 mg/kg,0,N/A,0,N/A
X03920,not found,not found,not found,"multi-centric study, involving three different countries",S392,S392C1,1,0,0,none,nested in phase 3 RCT,1,drug comparison,N/A,2,Moxidectin vs Ivermectin,1,unclear,0,N/A
X03921,not found,not found,not found,"multi-centric study, involving three different countries",S392,S392C2,1,0,0,none,nested in phase 3 RCT,1,drug comparison,N/A,2,Moxidectin vs Ivermectin,1,unclear,0,N/A
X03922,not found,not found,not found,"multi-centric study, involving three different countries",S392,S392C3,1,0,0,none,nested in phase 3 RCT,1,drug comparison,N/A,2,Moxidectin vs Ivermectin,1,unclear,0,N/A
X04050,not found,not found,not found,N/A,S405,S405C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X04360,not found,not found,not found,N/A,S436,S436C1,0,0,0,nutrition,association between infections on nutrition status and effects of deworming on nutrition status,0,N/A,N/A,1,none,0,N/A,0,N/A
X04430,not found,not found,not found,N/A,S443,S443C1,0,0,0,diagnostic approach,linked to SIMI cohort,0,N/A,N/A,1,none,0,N/A,0,N/A
X04490,not found,not found,not found,N/A,S449,S449C1,1,0,0,none,co-infections and associated factors,0,N/A,N/A,1,none,0,N/A,0,N/A
X04810,not found,not found,not found,N/A,S481,S481C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X05000,not found,not found,not found,N/A,S500,S500C1,1,1,0,none,co-infections,0,N/A,N/A,1,none,0,N/A,0,N/A
X05110,not found,not found,not found,different participants involved (mothers vs. infants): different age groups,S511,S511C1,1,0,0,none,Programme performance: impact of PCT/MDA on incidence/prevalence; assessment of diagnostic tests/drugs for other infections than schistosomiasis,0,N/A,N/A,1,none,0,N/A,0,N/A
X05111,not found,not found,not found,different participants involved (mothers vs. infants): different age groups,S511,S511C2,1,0,0,none,Programme performance: impact of PCT/MDA on incidence/prevalence; assessment of diagnostic tests/drugs for other infections than schistosomiasis,0,N/A,N/A,1,none,0,N/A,0,N/A
X05190,not found,not found,not found,N/A,S519,S519C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X05240,NCT01050517,ClinicalTrials.gov,Gaps in Helminth Control: Safety and Efficacy of Drug Combinations Against Triple Infections,N/A,S524,S524C1,1,1,0,none,none,1,regimen comparison,N/A,6,"2x5 in total (not all relevant): intervention (combined drug administration) vs. control (current NTD programme regimen), for each of 5 combinations of single or co-infections - among which only 3 are relevant here",1,unclear,1,single
X05490,not found,not found,not found,N/A,S549,S549C1,1,0,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X05680,not found,not found,not found,N/A,S568,S568C1,1,1,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X05740,not found,not found,not found,N/A,S574,S574C1,1,0,0,diagnostic approach,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X06020,not found,not found,not found,N/A,S602,S602C1,0,0,0,diagnostic approach,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X06160,NCT00231322,ClinicalTrials.gov,Influence of Transmission Season on Outcome of Treatment of Schistosoma Haematobium Infection in Mozambique,N/A,S616,S616C1,1,1,0,none,Control programme optimisation: variation of efficacy and safety of PZQ depend. season (low/high transmission) of drug delivery,1,other (endemic context),N/A,2,treated in low vs. high transmission season,1,unclear,0,N/A
X06320,not found,not found,not found,N/A,S632,S632C1,0,0,0,immunological responses,interaction between anti-schistosomal treatment and anti-malarial vaccine immune response,1,untreated controls,N/A,2,treated vs untreated (refused treatment for religious grounds or absent on treatment day),0,N/A,0,N/A
X06550,not found,not found,not found,N/A,S655,S655C1,0,0,0,none,assessment of anti-schistosomal drug impact on HIV viral load; co-infections,0,N/A,N/A,1,none,0,N/A,0,N/A
X06890,not found,not found,not found,N/A,S689,S689C1,1,0,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X06990,not found,not found,not found,N/A,S699,S699C1,1,0,0,none,none,1,placebo,N/A,2,treatment or control,1,unclear,1,double
X07490,not found,not found,not found,N/A,S749,S749C1,0,0,0,nutrition,Pathophysiology: searching the post-treat. peak improvement of schistosomiasis-associated morbidity,0,N/A,N/A,1,none,0,N/A,0,N/A
X07580,not found,not found,not found,N/A,S758,S758C1,1,1,0,none,Control programme optimisation: feasibility/adaptation of MDA/PCT protocol for infants,0,N/A,N/A,1,none,0,N/A,0,N/A
X07720,not found,not found,not found,N/A,S772,S772C1,0,0,0,diagnostic approach,lab. experiments (eggs hatching and miracidia viability/resistance tests),0,N/A,N/A,1,none,0,N/A,0,N/A
X08120,not found,not found,not found,N/A,S812,S812C1,0,0,0,immunological responses,none,1,drug comparison,untreated controls,3,"PZQ, OXA, untreated (and uninfected at baseline) controls",1,unclear,0,N/A
X08200,not found,not found,not found,N/A,S820,S820C1,0,0,0,immunological responses,none,1,untreated controls,N/A,2,PZQ or untreated (and uninfected at baseline) controls,0,N/A,0,N/A
X08280,not found,not found,not found,N/A,S828,S828C1,1,0,0,none,"very long term follow-up, with recurrent opportunities for treatment efficacy assess., as treat. was frequently repeated; behaviour and water contacts",0,N/A,N/A,1,none,0,N/A,0,N/A
X08430,not found,not found,not found,N/A,S843,S843C1,0,0,0,diagnostic approach,"fluctuations of inflammatory proteins in stools, searching for biomarkers of infection",1,healthy controls,N/A,2,infected vs. healthy at baseline,0,N/A,0,N/A
X08620,not found,not found,not found,N/A,S862,S862C1,1,0,0,none,Programme performance: impact of PCT/MDA on incidence/prevalence; study drug delivered as part of national programme,0,N/A,N/A,1,none,0,N/A,0,N/A
X09310,not found,not found,not found,N/A,S931,S931C1,1,1,0,none,cost-effectiveness assessment (As vs. PZQ therapy),0,N/A,N/A,1,none,0,N/A,0,N/A
X09350,not found,not found,not found,N/A,S935,S935C1,0,0,0,none,malacological survey in parallel to clinical study; behaviour and water contacts,0,N/A,N/A,1,none,0,N/A,0,N/A
X09720,not found,not found,not found,N/A,S972,S972C1,0,0,0,immunological responses,none,1,untreated controls,N/A,2,PZQ vs. untreated,0,N/A,0,N/A
X09880,not found,not found,not found,N/A,S988,S988C1,0,0,1,immunological responses,Pharmacology: dosage of unchanged PZQ,0,N/A,N/A,1,none,0,N/A,0,N/A
X10490,not found,not found,not found,N/A,S1049,S1049C1,0,0,0,none,evolution of long-term schistosomiasis-associated morbidity,0,N/A,N/A,1,none,0,N/A,0,N/A
X10530,not found,not found,not found,N/A,S1053,S1053C1,1,1,0,none,comparative study of area with long-term transmission and MDA/PCT vs. new focus of transmission,1,other (endemic context),N/A,2,new vs. old focus of transmission,0,N/A,0,N/A
X10590,not found,not found,not found,"six villages with two different methods for diagnosis, thus two different protocols",S1059,S1059C1,1,0,0,none,lab. experiments on snails and using different Schistosoma isolates,0,N/A,N/A,1,none,0,N/A,0,N/A
X10591,not found,not found,not found,"six villages with two different methods for diagnosis, thus two different protocols",S1059,S1059C2,1,0,0,none,lab. experiments on snails and using different Schistosoma isolates,0,N/A,N/A,1,none,0,N/A,0,N/A
X10760,not found,not found,not found,N/A,S1076,S1076C1,1,0,0,none,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X10840,not found,not found,not found,N/A,S1084,S1084C1,0,0,0,immunological responses,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X10970,not found,not found,not found,N/A,S1097,S1097C1,0,0,0,immunological responses,none,0,N/A,N/A,1,none,0,N/A,0,N/A
X11090,not found,not found,not found,N/A,S1109,S1109C1,0,0,0,none,socio-economic factors affecting (re-)infection status,0,N/A,N/A,1,none,0,N/A,0,N/A
X11220,not found,not found,not found,N/A,S1122,S1122C1,0,0,0,immunological responses,none,1,drug comparison,N/A,3,"PZQ, OXA, untreated controls",0,N/A,0,N/A
X11700,not found,not found,not found,N/A,S1170,S1170C1,0,0,0,immunological responses+ diagnostic approach,"IgG avidity as a marker of infection status (acute, chronic, de novo)",0,N/A,N/A,1,none,0,N/A,0,N/A
